date,close
2008-01-02,17.813404083251953
2008-01-03,17.382997512817383
2008-01-04,17.78770637512207
2008-01-07,17.569292068481445
2008-01-08,17.52432632446289
2008-01-09,17.84552574157715
2008-01-10,17.601411819458008
2008-01-11,17.363725662231445
2008-01-14,17.10677719116211
2008-01-15,16.702070236206055
2008-01-16,15.809148788452148
2008-01-17,16.23955535888672
2008-01-18,16.290943145751953
2008-01-21,15.39802074432373
2008-01-22,14.074706077575684
2008-01-23,15.57789421081543
2008-01-24,15.21815299987793
2008-01-25,16.23955535888672
2008-01-28,15.552193641662598
2008-01-29,15.706368446350098
2008-01-30,15.295241355895996
2008-01-31,15.166762351989746
2008-02-01,15.59716510772705
2008-02-04,16.02756118774414
2008-02-05,16.05968475341797
2008-02-06,15.128219604492188
2008-02-11,15.160341262817383
2008-02-12,14.935508728027344
2008-02-13,15.096100807189941
2008-02-14,15.417293548583984
2008-02-15,15.288819313049316
2008-02-18,15.359478950500488
2008-02-19,15.59716510772705
2008-02-20,15.256699562072754
2008-02-21,15.275970458984375
2008-02-22,15.070405960083008
2008-02-25,15.04471206665039
2008-02-26,15.333783149719238
2008-02-27,15.828428268432617
2008-02-28,15.899084091186523
2008-02-29,15.610013008117676
2008-03-03,15.250275611877441
2008-03-04,14.948351860046387
2008-03-05,14.948351860046387
2008-03-06,15.096100807189941
2008-03-07,14.550070762634277
2008-03-10,14.678548812866211
2008-03-11,14.871265411376953
2008-03-12,15.141070365905762
2008-03-13,14.421595573425293
2008-03-14,14.383054733276367
2008-03-17,13.644305229187012
2008-03-18,13.83702564239502
2008-03-19,14.209609031677246
2008-03-20,13.721395492553711
2008-03-25,14.601465225219727
2008-03-26,14.697823524475098
2008-03-27,14.729944229125977
2008-03-28,15.128219604492188
2008-03-31,14.845571517944336
2008-04-01,15.031867027282715
2008-04-02,15.50722885131836
2008-04-03,15.757761001586914
2008-04-07,15.963324546813965
2008-04-08,15.789880752563477
2008-04-09,15.57789421081543
2008-04-10,15.712789535522461
2008-04-11,16.021137237548828
2008-04-14,15.47511100769043
2008-04-15,15.53292465209961
2008-04-16,15.520081520080566
2008-04-17,15.783456802368164
2008-04-18,15.744911193847656
2008-04-21,16.078954696655273
2008-04-22,16.220277786254883
2008-04-23,16.445114135742188
2008-04-24,16.702070236206055
2008-04-25,16.592864990234375
2008-04-28,16.689224243164062
2008-04-29,16.70849609375
2008-04-30,16.61213493347168
2008-05-02,16.94618034362793
2008-05-05,16.907636642456055
2008-05-06,16.965452194213867
2008-05-07,16.547895431518555
2008-05-08,16.445114135742188
2008-05-09,16.20743179321289
2008-05-13,16.535049438476562
2008-05-14,16.52219581604004
2008-05-15,16.515775680541992
2008-05-16,16.586444854736328
2008-05-19,16.66352653503418
2008-05-20,16.31663703918457
2008-05-21,16.528627395629883
2008-05-22,16.26524543762207
2008-05-23,16.05326271057129
2008-05-26,15.674247741699219
2008-05-27,15.770608901977539
2008-05-28,15.751336097717285
2008-05-29,15.841267585754395
2008-05-30,15.9376220703125
2008-06-02,16.130348205566406
2008-06-03,15.834846496582031
2008-06-04,15.687101364135742
2008-06-05,15.777032852172852
2008-06-06,15.86696720123291
2008-06-10,15.224579811096191
2008-06-11,15.19888687133789
2008-06-12,15.006173133850098
2008-06-13,14.999741554260254
2008-06-16,15.012591361999512
2008-06-17,15.038285255432129
2008-06-18,15.21173095703125
2008-06-19,14.877690315246582
2008-06-20,14.845571517944336
2008-06-23,14.826299667358398
2008-06-24,14.659278869628906
2008-06-25,14.774908065795898
2008-06-26,14.659278869628906
2008-06-27,14.395898818969727
2008-06-30,14.434446334838867
2008-07-02,14.177488327026367
2008-07-03,13.881988525390625
2008-07-04,13.997617721557617
2008-07-07,14.312389373779297
2008-07-08,13.862716674804688
2008-07-09,14.241728782653809
2008-07-10,14.2545747756958
2008-07-11,14.485835075378418
2008-07-14,14.376627922058105
2008-07-15,13.83702564239502
2008-07-16,13.869142532348633
2008-07-17,14.196760177612305
2008-07-18,14.286689758300781
2008-07-21,14.710667610168457
2008-07-22,14.704244613647461
2008-07-23,15.096100807189941
2008-07-24,15.070405960083008
2008-07-25,14.845571517944336
2008-07-28,14.807027816772461
2008-07-29,14.530802726745605
2008-07-30,14.81344985961914
2008-07-31,14.839146614074707
2008-08-01,14.922658920288086
2008-08-04,14.697823524475098
2008-08-05,14.331659317016602
2008-08-07,14.434446334838867
2008-08-08,14.293118476867676
2008-08-11,14.273845672607422
2008-08-12,14.132519721984863
2008-08-13,13.907689094543457
2008-08-14,13.97192668914795
2008-08-15,13.824176788330078
2008-08-18,13.68285083770752
2008-08-19,13.393777847290039
2008-08-20,13.708545684814453
2008-08-21,13.361658096313477
2008-08-25,13.817750930786133
2008-08-26,13.785630226135254
2008-08-27,14.055436134338379
2008-08-28,13.74066162109375
2008-08-29,13.926958084106445
2008-09-01,13.702120780944824
2008-09-02,13.785630226135254
2008-09-03,13.490130424499512
2008-09-04,13.368081092834473
2008-09-05,13.07258129119873
2008-09-08,13.631458282470703
2008-09-09,13.44516658782959
2008-09-10,13.143241882324219
2008-09-11,12.751389503479004
2008-09-12,12.751389503479004
2008-09-16,12.07688045501709
2008-09-17,11.652908325195312
2008-09-18,11.652908325195312
2008-09-19,12.744961738586426
2008-09-22,12.94410514831543
2008-09-23,12.455890655517578
2008-09-24,12.513704299926758
2008-09-25,12.494433403015137
2008-09-26,12.33383560180664
2008-09-29,11.819927215576172
2008-09-30,11.903434753417969
2008-10-02,12.031911849975586
2008-10-03,11.691450119018555
2008-10-06,11.126148223876953
2008-10-08,10.239654541015625
2008-10-09,10.57369327545166
2008-10-10,9.834949493408203
2008-10-13,10.811380386352539
2008-10-14,11.145421981811523
2008-10-15,10.605814933776855
2008-10-16,10.111176490783691
2008-10-17,9.674352645874023
2008-10-20,10.168992042541504
2008-10-21,9.989124298095703
2008-10-22,9.488061904907227
2008-10-23,9.160444259643555
2008-10-24,8.428121566772461
2008-10-27,7.393879413604736
2008-10-28,8.415274620056152
2008-10-29,8.485936164855957
2008-10-30,9.243953704833984
2008-10-31,9.012691497802734
2008-11-03,9.256799697875977
2008-11-04,9.282496452331543
2008-11-05,9.571569442749023
